value,datetime,datetime_utc,tz_time,geo_id,geo_name
325617.0,2025-01-04T12:00:00.000+01:00,2025-01-04T11:00:00Z,2025-01-04T11:00:00.000Z,8741,Península
327982.0,2025-01-04T13:00:00.000+01:00,2025-01-04T12:00:00Z,2025-01-04T12:00:00.000Z,8741,Península
331271.0,2025-01-04T14:00:00.000+01:00,2025-01-04T13:00:00Z,2025-01-04T13:00:00.000Z,8741,Península
328006.0,2025-01-04T15:00:00.000+01:00,2025-01-04T14:00:00Z,2025-01-04T14:00:00.000Z,8741,Península
326166.0,2025-01-04T16:00:00.000+01:00,2025-01-04T15:00:00Z,2025-01-04T15:00:00.000Z,8741,Península
333689.0,2025-01-04T17:00:00.000+01:00,2025-01-04T16:00:00Z,2025-01-04T16:00:00.000Z,8741,Península
352662.0,2025-01-04T18:00:00.000+01:00,2025-01-04T17:00:00Z,2025-01-04T17:00:00.000Z,8741,Península
360433.0,2025-01-04T19:00:00.000+01:00,2025-01-04T18:00:00Z,2025-01-04T18:00:00.000Z,8741,Península
368957.0,2025-01-04T20:00:00.000+01:00,2025-01-04T19:00:00Z,2025-01-04T19:00:00.000Z,8741,Península
369987.0,2025-01-04T21:00:00.000+01:00,2025-01-04T20:00:00Z,2025-01-04T20:00:00.000Z,8741,Península
344168.0,2025-01-04T22:00:00.000+01:00,2025-01-04T21:00:00Z,2025-01-04T21:00:00.000Z,8741,Península
316879.0,2025-01-04T23:00:00.000+01:00,2025-01-04T22:00:00Z,2025-01-04T22:00:00.000Z,8741,Península
291109.0,2025-01-05T00:00:00.000+01:00,2025-01-04T23:00:00Z,2025-01-04T23:00:00.000Z,8741,Península
267429.0,2025-01-05T01:00:00.000+01:00,2025-01-05T00:00:00Z,2025-01-05T00:00:00.000Z,8741,Península
249421.0,2025-01-05T02:00:00.000+01:00,2025-01-05T01:00:00Z,2025-01-05T01:00:00.000Z,8741,Península
237390.0,2025-01-05T03:00:00.000+01:00,2025-01-05T02:00:00Z,2025-01-05T02:00:00.000Z,8741,Península
233139.0,2025-01-05T04:00:00.000+01:00,2025-01-05T03:00:00Z,2025-01-05T03:00:00.000Z,8741,Península
231892.0,2025-01-05T05:00:00.000+01:00,2025-01-05T04:00:00Z,2025-01-05T04:00:00.000Z,8741,Península
238348.0,2025-01-05T06:00:00.000+01:00,2025-01-05T05:00:00Z,2025-01-05T05:00:00.000Z,8741,Península
249012.0,2025-01-05T07:00:00.000+01:00,2025-01-05T06:00:00Z,2025-01-05T06:00:00.000Z,8741,Península
261969.0,2025-01-05T08:00:00.000+01:00,2025-01-05T07:00:00Z,2025-01-05T07:00:00.000Z,8741,Península
283072.0,2025-01-05T09:00:00.000+01:00,2025-01-05T08:00:00Z,2025-01-05T08:00:00.000Z,8741,Península
302489.0,2025-01-05T10:00:00.000+01:00,2025-01-05T09:00:00Z,2025-01-05T09:00:00.000Z,8741,Península
309545.0,2025-01-05T11:00:00.000+01:00,2025-01-05T10:00:00Z,2025-01-05T10:00:00.000Z,8741,Península
314260.0,2025-01-05T12:00:00.000+01:00,2025-01-05T11:00:00Z,2025-01-05T11:00:00.000Z,8741,Península
323751.0,2025-01-05T13:00:00.000+01:00,2025-01-05T12:00:00Z,2025-01-05T12:00:00.000Z,8741,Península
327954.0,2025-01-05T14:00:00.000+01:00,2025-01-05T13:00:00Z,2025-01-05T13:00:00.000Z,8741,Península
321398.0,2025-01-05T15:00:00.000+01:00,2025-01-05T14:00:00Z,2025-01-05T14:00:00.000Z,8741,Península
320090.0,2025-01-05T16:00:00.000+01:00,2025-01-05T15:00:00Z,2025-01-05T15:00:00.000Z,8741,Península
321957.0,2025-01-05T17:00:00.000+01:00,2025-01-05T16:00:00Z,2025-01-05T16:00:00.000Z,8741,Península
333463.0,2025-01-05T18:00:00.000+01:00,2025-01-05T17:00:00Z,2025-01-05T17:00:00.000Z,8741,Península
